"region";"Elever per kommunal skole (antall) 2015";"Elever per kommunal skole (antall) 2016";"Elever per kommunal skole (antall) 2017";"Elever per kommunal skole (antall) 2018";"Elever per kommunal skole (antall) 2019";"Elever per kommunal skole (antall) 2020"
"4633 Fedje";.;.;.;.;.;60.0
"4634 Masfjorden";.;.;.;.;.;70.0
"4635 Gulen";.;.;.;.;.;61.5
"4636 Solund";.;.;.;.;.;77.0
"4637 Hyllestad";.;.;.;.;.;115.0
"4638 Høyanger";.;.;.;.;.;86.6
"4639 Vik";.;.;.;.;.;145.5
"4640 Sogndal";.;.;.;.;.;154.7
"4641 Aurland";.;.;.;.;.;79.5
"4642 Lærdal";.;.;.;.;.;115.0
"4643 Årdal";.;.;.;.;.;270.0
"4644 Luster";.;.;.;.;.;70.7
"4645 Askvoll";.;.;.;.;.;78.3
"4646 Fjaler";.;.;.;.;.;88.5
"4647 Sunnfjord";.;.;.;.;.;189.2
"4648 Bremanger";.;.;.;.;.;76.2
"4649 Stad";.;.;.;.;.;137.1
"4650 Gloppen";.;.;.;.;.;142.4
"4651 Stryn";.;.;.;.;.;112.5
"1201 Bergen (-2019)";335.3;340.6;345.1;350.0;349.5;.
"1211 Etne (-2019)";256.5;252.0;261.5;258.5;253.0;.
"1216 Sveio (-2019)";161.0;167.0;166.0;165.0;167.2;.
"1219 Bømlo (-2019)";174.8;174.0;171.8;171.6;172.1;.
"1221 Stord (-2019)";252.0;248.5;252.1;249.1;246.7;.
"1222 Fitjar (-2019)";146.3;151.0;155.3;154.3;150.0;.
"1223 Tysnes (-2019)";95.3;97.0;100.0;101.3;101.7;.
"1224 Kvinnherad (-2019)";101.8;113.2;112.2;109.7;109.2;.
"1227 Jondal (-2019)";122.0;114.0;125.0;124.0;125.0;.
"1228 Odda (-2019)";145.8;155.0;147.4;145.4;142.8;.
"1231 Ullensvang (-2019)";98.0;101.0;102.5;103.5;101.3;.
"1232 Eidfjord (-2019)";90.0;97.0;99.0;98.0;90.0;.
"1233 Ulvik (-2019)";125.0;122.0;117.0;130.0;125.0;.
"1234 Granvin (-2019)";94.0;87.0;90.0;93.0;87.0;.
"1235 Voss (-2019)";159.9;179.0;179.1;178.0;175.7;.
"1238 Kvam (-2019)";171.8;176.5;173.5;169.7;170.7;.
"1241 Fusa (-2019)";76.1;84.8;83.4;76.0;73.8;.
"1242 Samnanger (-2019)";142.0;141.5;142.5;141.5;141.0;.
"1243 Os (Hordaland) (-2019)";228.7;232.8;241.5;247.8;251.5;.
"1244 Austevoll (-2019)";142.2;170.8;169.8;230.3;226.3;.
"1245 Sund (-2019)";193.6;198.8;199.4;216.8;222.6;.
"1246 Fjell (-2019)";216.4;216.7;217.6;246.8;266.1;.
"1247 Askøy (-2019)";245.6;248.4;250.8;255.0;258.5;.
"1251 Vaksdal (-2019)";96.8;94.4;95.4;92.4;93.8;.
"1252 Modalen (-2019)";86.0;79.0;70.0;72.0;66.0;.
"1253 Osterøy (-2019)";150.0;163.6;158.8;163.6;165.0;.
"1256 Meland (-2019)";214.2;216.2;225.0;234.8;238.4;.
"1259 Øygarden (-2019)";134.0;137.8;132.4;134.8;132.2;.
"1260 Radøy (-2019)";126.8;124.0;119.6;115.4;115.4;.
"1263 Lindås (-2019)";160.0;162.6;161.5;161.6;161.3;.
"1264 Austrheim (-2019)";194.0;196.0;193.0;193.0;186.5;.
"1265 Fedje (-2019)";73.0;80.0;78.0;76.0;67.0;.
"1266 Masfjorden (-2019)";67.0;66.7;72.0;73.7;73.0;.
"1401 Flora (-2019)";178.8;182.4;181.1;177.6;174.4;.
"1411 Gulen (-2019)";71.8;68.8;70.3;66.5;63.5;.
"1412 Solund (-2019)";84.0;90.0;88.0;90.0;86.0;.
"1413 Hyllestad (-2019)";162.0;147.0;136.0;127.0;114.0;.
"1416 Høyanger (-2019)";106.2;100.8;99.8;93.8;87.4;.
"1417 Vik (-2019)";62.6;63.6;62.4;64.2;63.2;.
"1418 Balestrand (-2019)";127.0;66.0;61.5;66.5;66.5;.
"1419 Leikanger (-2019)";164.0;163.0;153.0;147.5;146.5;.
